Unnamed: 0.1,name,club_x,Unnamed: 0,nationality,position,club_y,birth_year,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,"aerials_lost,",FC 25,FC 24,FIFA 23,FIFA 22,FIFA 21,FIFA 20,FIFA 19,FIFA 18,FIFA 17,FIFA 16,FIFA 15,FIFA 14/25,FIFA 13,FIFA 12,FIFA 11,FIFA 10,FIFA 09,FIFA 08,FIFA 07,injury_type,start_date,end_date,duration,injury_year
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,knock,2018-08-01,2018-08-24,23.0,2018.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,muscle injury,2018-02-04,2018-02-25,21.0,2018.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,muscle injury,2017-11-15,2017-12-13,28.0,2017.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,muscle injury,2017-09-17,2017-10-12,25.0,2017.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,torn muscle,2017-03-26,2017-05-12,47.0,2017.0
1049.0,jeffrey-gouweleeuw,FC Augsburg,894.0,nl NED,DF,Augsburg,1991.0,14.0,14.0,1196.0,7.0,0.0,13.3,0.0,7.0,0.0,333.0,507.0,7585.0,3100.0,139.0,198.0,150.0,464.0,39.0,39.0,3.0,5.0,0.0,0.0,24.0,15.0,14.0,8.0,14.0,25.0,62.0,1.0,658.0,658.0,8.0,4.0,4.0,291.0,12.0,3.0,81.0,37.0,"27.0,",76.0,75.0,,,,,,,,,,,,,,,,,,tear in the abductor muscle,2021-08-16,2021-09-06,21.0,2021.0
1049.0,jeffrey-gouweleeuw,FC Augsburg,894.0,nl NED,DF,Augsburg,1991.0,14.0,14.0,1196.0,7.0,0.0,13.3,0.0,7.0,0.0,333.0,507.0,7585.0,3100.0,139.0,198.0,150.0,464.0,39.0,39.0,3.0,5.0,0.0,0.0,24.0,15.0,14.0,8.0,14.0,25.0,62.0,1.0,658.0,658.0,8.0,4.0,4.0,291.0,12.0,3.0,81.0,37.0,"27.0,",76.0,75.0,,,,,,,,,,,,,,,,,,adductor problems,2019-07-01,2019-10-13,104.0,2019.0
1049.0,jeffrey-gouweleeuw,FC Augsburg,894.0,nl NED,DF,Augsburg,1991.0,14.0,14.0,1196.0,7.0,0.0,13.3,0.0,7.0,0.0,333.0,507.0,7585.0,3100.0,139.0,198.0,150.0,464.0,39.0,39.0,3.0,5.0,0.0,0.0,24.0,15.0,14.0,8.0,14.0,25.0,62.0,1.0,658.0,658.0,8.0,4.0,4.0,291.0,12.0,3.0,81.0,37.0,"27.0,",76.0,75.0,,,,,,,,,,,,,,,,,,muscular problems,2019-04-22,2019-04-24,2.0,2019.0
1049.0,jeffrey-gouweleeuw,FC Augsburg,894.0,nl NED,DF,Augsburg,1991.0,14.0,14.0,1196.0,7.0,0.0,13.3,0.0,7.0,0.0,333.0,507.0,7585.0,3100.0,139.0,198.0,150.0,464.0,39.0,39.0,3.0,5.0,0.0,0.0,24.0,15.0,14.0,8.0,14.0,25.0,62.0,1.0,658.0,658.0,8.0,4.0,4.0,291.0,12.0,3.0,81.0,37.0,"27.0,",76.0,75.0,,,,,,,,,,,,,,,,,,adductor problems,2019-01-24,2019-03-11,46.0,2019.0
1049.0,jeffrey-gouweleeuw,FC Augsburg,894.0,nl NED,DF,Augsburg,1991.0,14.0,14.0,1196.0,7.0,0.0,13.3,0.0,7.0,0.0,333.0,507.0,7585.0,3100.0,139.0,198.0,150.0,464.0,39.0,39.0,3.0,5.0,0.0,0.0,24.0,15.0,14.0,8.0,14.0,25.0,62.0,1.0,658.0,658.0,8.0,4.0,4.0,291.0,12.0,3.0,81.0,37.0,"27.0,",76.0,75.0,,,,,,,,,,,,,,,,,,ruptured intraarticular ligament initiation in knee,2018-01-29,2018-03-29,59.0,2018.0
